Description,Designator,Footprint,K3 No.,Value,Quantity
"RES,GEN,0R,5%,62.5mW,0402","R37, R38, R160, R163, R1105",0402-R,1.1.1.01.01.309,0R DNP,5
"RES,GEN,0R,5%,62.5mW,0402","R39, R41, R73, R75, R76, R84, R89, R114, R128, R130, R131, R138, R139, R158, R294, R1401, R1402, R1608, R2105, R2114, R2115, R2117, R2118, R2120, R2121, R2122",0402-R,1.1.1.01.01.309,0R,26
"RES,GEN,60.4R,1%,250mW,1206","R50, R52",1206-R,1.1.1.01.01.089,60.4R DNP,2
"RES,GEN,2.2K,5%,250mW,1206","R55, R58, R65, R79, R91, R93, R95, R113, R146",1206-R,1.1.1.01.01.151,2.2K,9
"RES,GEN,820K,1%,62.5mW,0603","R57, R90, R92, R144",0603-R,1.1.1.01.01.367,820K,4
"RES,GEN,107K,1%,,0402",R59,0402-R,1.1.1.01.01.386,107K,1
"RES,GEN,10k,1%,62.5mW,0402","R60, R61, R134, R135",0402-R,1.1.1.01.01.392,DNP,4
"RES,GEN,100R,1%,62.5mW,0402","R62, R2100, R2101",0402-R,1.1.1.01.01.315,100R,3
"RES,GEN,182K,1%,,0402",R63,0402-R,1.1.1.01.01.504,182K,1
"RES,GEN,1M,1%,62.5mW,0603","R64, R98, R115",0603-R,1.1.1.01.01.301,1M,3
"RES,GEN,31.6K,1%,,0402",R69,0402-R,1.1.1.01.01.387,31.6K,1
"RES,GEN,1K,5%,62.5mW,0402","R71, R122, R161",0402-R,1.1.1.01.01.321,1K,3
"RES,GEN,10K,5%,62.5mW,0402",R72,0402-R,1.1.1.01.01.320,12K,1
0402-75K,R74,0402-R,1.1.1.01.01.427,75K,1
"RES,GEN,1MR,1%,62.5mW,0402",R78,0402-R,1.1.1.01.01.349,1MR,1
"RES,GEN,200K,1%,100mW,0603","R80, R100",0603-R,1.1.1.01.01.266,200K,2
"RES,GEN,5.1K,5%,100mW,0402","R82, R86, R87, R88, R107, R108",0402-R,1.1.1.01.01.426,5.1K,6
"RES,GEN,4.7K,5%,100mW,0603",R94,0603-R,1.1.1.01.01.104GJ,4.7K,1
"RES,GEN,330R,5%,1W,2512","R97, R102",RESC-2512,1.1.1.01.01.211,330R,2
"RES,GEN,10k,1%,62.5mW,0402","R101, R136, R140, R141, R142, R283, R284, R288",0402-R,1.1.1.01.01.392,10K,8
"RES,GEN,100K,1%,62.5mW,0603",R103,0603-R,1.1.1.01.01.259,100K,1
"RES,GEN,820K,1%,62.5mW,0603",R104,0603-R,1.1.1.01.01.367,820K,1
"RES,GEN,20K,1%,100mW,0603",R106,0603-R,1.1.1.01.01.529,20K_1%,1
"RES,GEN,10K,5%,62.5mW,0402","R110, R173",0402-R,1.1.1.01.01.290,10K DNP,2
"RES,GEN,6.04K,1%,100mW,0603",R111,0603-R,1.1.1.01.01.121GJ,6.04K,1
"RES,GEN,100R,5%,100mW,0603","R112, R121, R143, R145, R151",0402-R,1.1.1.01.01.315,100R,5
"RES,GEN,10Ω,1%,62.5mW,0402",R118,0402-R,1.1.1.01.01.460,10Ω,1
"RES,GEN,1R,5%,100mW,0603","R119, R120",0805-R,1.1.1.01.01.063,1R DNP,2
"RES,GEN,200K,1%,62.5mW,0402",R125,0402-R,1.1.1.01.01.498,200K,1
"RES,GEN,250K,1%,62.5mW,0402",R127,0402-R,1.1.1.01.01.439,250K,1
"RES,GEN,45.3kΩ,1%,62.5mW,0402",R133,0402-R,1.1.1.01.01.472,45.3KΩ,1
"RES,GEN,0R,5%,62.5mW,0402",R137,0402-R,1.1.1.01.01.309,DNP,1
"RES,GEN,22R,1%,62.5mW,0402","R147, R148, R316, R318, R1300, R1806, R1807",0402-R,1.1.1.01.01.312,22R,7
"RES,GEN,200K,1%,100mW,0603",R152,0603-R,1.1.1.01.01.266,200K DNP,1
"RES,GEN,20K,5%,125mW,0805",R153,0805-R,1.1.1.01.01.169-GJ,20K,1
"RES,GEN,47K,1%,62.5mW,0603",R159,0603-R,1.1.1.01.01.298,47K DNP,1
"RES,GEN,20K,5%,100mW,0603",R162,0603-R,1.1.1.01.01.101-GJ,20K DNP,1
"RES,GEN,10K,1%,100mW,0603",R169,0603-R,1.1.1.01.01.221-GJ,10K DNP,1
"RES,GEN,5.1K,1%,100mW,0603",R170,0603-R,1.1.1.01.01.160-GJ,5.1K DNP,1
"RES,GEN,56K,1%,62.5mW,0603",R172,0603-R,1.1.1.01.01.294,56K DNP,1
"RES,GEN,33R,5%,62.5mW,0402",R1100,0402-R,1.1.1.01.01.310,33R,1
"通用厚膜电阻,133R,+/-1%,R0402,1/16W.",R1400,0402-R,1.1.1.01.01.526,133R,1
"通用厚膜电阻,2K,+/-1%,R0402,1/16W.","R1607, R1701",0402-R,1.1.1.01.01.528,2K,2
"RES,GEN,82K,1%,62.5mW,0402",R2102,0402-R,1.1.1.01.01.549,82K,1
"通用厚膜电阻,120K,+/-1%,R0402,1/16W.",R2103,0402-R,1.1.1.01.01.496,120K,1
"RES,GEN,2.2kΩ,1%,62.5mW,0402","R2108, R2110",0402-R,1.1.1.01.01.432,2.2KΩ,2
"通用厚膜电阻,110K,+/-1%,R0402,1/16W.",R2113,0402-R,1.1.1.01.01.434,110K,1
"通用厚膜电阻,49.9K,+/-1%,R0402,1/16W.",R2116,0402-R,1.1.1.01.01.425,49.9k,1
"通用厚膜电阻,240R,+/-1%,R0402,1/16W.","R3000, R3001, R3008, R3009",0402-R,1.1.1.01.01.372,,4
"通用厚膜电阻,49R9,+/-1%,R0402,1/16W.","R3002, R3003",0402-R,1.1.1.01.01.527,,2
"RES,NET,33R,5%,62.5mW,0402_4","RN1, RN4, RN5",RESCA-0.5P-0402-8,1.1.1.01.01.324,33R,3
,"SC1, SC2, SC3, SC4, SC5, SC6, SC7",SHIELD_CAN_CLIP$2F$PTV0703B,1.1.2.310.006,SC / PTV0703B 屏蔽夹,7
"SPEAKER,94dB,400Hz-10KHz,50R,34MM",SPK1,SPK-3P-36*15.9,1.1.1.02.09.027,UGSP3750-06,1
"TVS,3.3V,300mW,2,SOD-923","TVS2, TVS3",SOD-1*0.6,1.1.1.01.03.073,ESD9B5.0ST5G,2
"TVS,3.3V,300mW,2,SOD-923","TVS4, TVS5",SOD-1*0.6,1.1.1.01.03.073,SZESD9101P2T5G(ON Semi),2
MPQ3367GR–AEC1-Z,U1,QFN-0.5P-4*4_HS-24N,1.1.1.01.05.555,,1
"IC ,MPQ4323GDE-AEC1-Z",U2,QFN12_MPQ4323_MNP,1.1.1.01.05.553,,1
,U3,QFN-0.4P-7.5*7.5-64_HS,1.1.1.01.05.427,,1
"B1M family  32-bit ARM Cortex-M33 MCU with 1M pflash, 256K dflash and 128K SRAM, LQFP-64 package",U4,LQFP64_10X10,1.1.1.01.05.489,,1
"IC,RS0104-Q1（QFN1.7x2 12PIN ）",U5,QFN-0.4P-1.7*2.0-12N,1.1.1.01.05.481,1.1.1.01.05.481,1
"IC FPD-Link III,CSI-2,WQFN64",U6,QFN-0.5P-9*9-64-EPAD,1.1.1.01.05.299,DS90UB940-Q1,1
"IC,CAN Tranceiver,High-speed/Standby mode,SO8",U7,SOIC-1.27P-6*5-8,1.1.1.01.05.478,TCAN1042DRQ1,1
"IC,RTC,±5*10E-6,QFN10/with Temperature Compensation",U8,QFN-0.7P-3.2*2.5-10,1.1.1.01.05.208A,INS5609,1
MPQ20051DQ-AEC1,U9,QFN-0.65P-3.0*3.0-8,1.1.1.01.05.556,MPQ20051DQ-AEC1,1
,U10,QFN-0_5P-6_6-32-HS,1.1.1.01.05.494,,1
"IC,LEVEL SHIFTER/BUFFER,SOT-353","U11, U12, U13, U14, U19, U20",SOT-0.65P-2*2.1-5,1.1.1.01.05.261,NLVVHC1GT126DF1G,6
,U16,QFN-0.65P-3.0*3.0-8,1.1.1.01.05.556,,1
"IC,EEPROM,(2-wire) Serial EEPROM(I2C-bus),4Kbit,SOIC8",U22,SOIC-1.27P-6*5-8,1.1.1.01.05.307,BR24G16FJ-3GTE2,1
,U1000,bga418_14r00x14r00x1r24,1.1.1.01.05.425,,1
,U2100,QFN68_7R00X7R00X0R80_T,1.1.1.01.05.426,,1
256x16,"U3000, U3001",FBGA96_14R00X11R00X1R20,1.1.1.01.05.351,,2
IC MEM NAND FLASH 8GB 2.7-3.6V EMMC 1.7-1.95V AEC-Q100 FBGA153,U4100,FBGA153_0P5_11P5X13,1.1.1.01.05.486,KLM8G1GEUF-B04Q057,1
"CON,32P,2R,TE BLUE,TE BLUE-32",X1,CONN-TE BLUE-2137614-2-32,1.1.1.02.14.059,966658-2 /2137614-2,1
XTD Logo,XTD,XTD-LOGO,,,1
"XTAL,24MHz, ±10PPM,3.2*2.5","Y1, Y1100",XTALC-3.2*2.5-4,1.1.1.01.08.017,24MHz,2
"XTAL,25MHz, ±10PPM,3.2*2.5",Y2,XTALC-3.2*2.5-4,1.1.1.01.08.029,25MHz,1
"XTAL,32.768KHz,±10PPM,3.2*1.5*0.8",Y2100,XTALC-3.2*1.5-2,1.1.1.01.08.022,32.768KHz,1
"TVS,27V,225mW,2,SOT-23","Z1, Z2",SOT-0.95P-2.9*2.4-3-L,1.1.1.01.03.015,MMBZ27VCLT1G,2
